BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
2760.0,46.0,1.01,,2.0,46,2735.0,109.42,1.0,2.0,,1840.0,0.9,,1
3636.0,50.0,1.53,,2.0,53,2375.0,95.0,1.0,2.0,,2424.0,1.25,,0
1004.0,30.0,0.21,,1.0,10,4750.0,95.0,1.0,1.5,,1004.0,0.6,,0
14775.0,92.5,2.43,3.4,6.5,17,6081.0,92.5,1.0,2.0,,,3.44,14775.0,0
2080.0,36.0,0.83,,2.0,31,2500.0,100.0,1.0,3.0,,2080.0,0.9,,0
2838.0,43.0,1.05,,2.0,86,2700.0,100.0,1.0,2.0,,1892.0,0.9,,0
2360.0,35.0,1.14,,4.8,133,2075.0,100.42,1.0,3.0,,2360.0,2.43,,0
3528.0,53.0,1.76,,2.0,1,2000.0,100.36,1.0,3.0,1176.0,2352.0,0.9,,0
2000.0,53.0,1.0,,2.0,47,2001.0,100.01,2.0,2.0,,2000.0,1.1,,0
7344.0,68.0,3.02,,4.8,142,2428.0,66.83,2.0,3.0,612.0,6120.0,2.43,612.0,0
2014.0,34.5,1.07,,2.0,25,1880.0,96.0,1.0,2.0,,1292.0,0.9,,0
2440.0,64.0,0.98,3.4,4.8,13,2500.0,100.0,1.0,2.0,,2440.0,2.43,,0
16400.0,95.42,7.36,,4.8,44,2228.0,96.4,1.0,5.0,,15200.0,3.44,1200.0,0
2404.0,45.0,0.94,,2.0,41,2557.0,101.25,1.0,2.0,,1890.0,0.9,,0
2250.0,30.0,0.85,,6.5,8,2636.0,112.1,1.0,3.0,,2250.0,3.44,,0
1554.0,43.0,0.57,,2.0,178,2708.0,100.0,1.0,1.0,,888.0,0.9,,0
2280.0,50.0,1.12,,2.0,51,2027.0,81.08,1.0,2.0,,2280.0,1.25,,0
3472.0,65.25,0.2,,1.0,402,17028.0,50.0,1.0,1.0,,1736.0,0.6,,0
3198.0,51.0,1.63,,4.8,108,1966.0,95.0,1.0,3.0,,3198.0,2.43,,0
1820.0,39.0,0.44,,1.0,23,4169.0,111.42,2.0,2.0,,1320.0,0.6,,0
800.0,40.0,0.17,,2.0,39,4725.0,94.5,1.0,1.0,,800.0,0.9,,0
2090.0,56.0,0.84,,2.0,19,2500.0,100.0,1.0,2.0,,2090.0,0.9,,1
2821.0,60.0,0.92,,4.0,83,3063.0,79.57,1.0,1.0,2821.0,,4.0,,0
2000.0,50.0,1.0,,4.8,44,2000.0,100.0,1.0,2.0,,2000.0,2.43,,0
2408.0,43.0,0.52,,2.0,55,4675.0,85.0,1.0,2.0,,2408.0,1.25,,0
,,,,6.5,27,2500.0,100.0,,,,,6.02,,0
7600.0,76.0,1.57,1.0,2.4,53,4850.0,97.0,1.0,2.0,7600.0,,,,0
3050.0,49.0,1.21,,2.0,35,2513.0,100.5,1.0,2.5,,3050.0,0.9,,0
1800.0,72.0,0.85,,6.5,87,2106.0,84.17,1.0,1.0,,,6.02,1800.0,0
5648.0,75.0,3.96,,4.8,12,1425.0,75.0,,4.0,,3178.0,2.43,1425.0,0
1888.0,55.0,0.99,,4.8,74,1900.0,95.0,1.0,2.0,,1888.0,3.44,,0
3681.0,55.0,1.23,,2.0,49,3000.0,100.0,2.0,2.0,,2454.0,1.1,,1
,,,,2.0,148,83.0,100.0,,,,,0.9,,0
1500.0,36.0,0.6,,2.0,22,2500.0,100.0,2.0,2.0,,1150.0,0.9,,0
960.0,30.0,0.76,,2.0,5,1264.0,78.42,1.0,2.0,,960.0,0.9,,1
10891.0,41.25,2.81,,3.0,7502,3873.0,41.25,1.0,5.0,,9973.0,3.0,,0
1600.0,40.0,1.1,,4.8,145,1450.0,72.52,1.0,2.0,,1600.0,2.43,,0
4408.0,,0.61,,4.8,23,7217.0,109.0,1.0,1.0,,,3.44,4408.0,0
2531.0,51.0,1.2,,4.8,49,2112.0,64.0,1.0,3.0,,2531.0,3.44,,0
5900.0,59.0,1.27,1.0,6.5,49,4651.0,184.64,1.0,3.0,,2950.0,3.44,1475.0,0
1998.0,37.0,1.11,,1.0,72,1800.0,100.0,1.0,3.0,,1998.0,0.6,,0
45500.0,85.0,4.27,,4.8,186,10650.0,108.17,1.0,6.0,,45500.0,2.43,,0
2954.0,47.0,1.33,,4.8,21,2228.0,90.0,1.0,3.0,,2954.0,3.44,,0
3040.0,72.0,0.68,,2.0,67,4500.0,100.0,2.0,1.5,,1140.0,2.0,,0
1764.0,42.0,0.71,,1.0,55,2500.0,100.0,1.0,1.0,,882.0,0.6,,0
2520.0,55.0,0.57,,2.0,7,4441.0,88.67,3.0,2.0,,2520.0,1.25,,0
1422.0,36.0,0.57,,2.0,4,2500.0,100.0,2.0,2.0,,1422.0,0.9,,0
2640.0,66.0,1.06,,4.8,55,2500.0,100.0,1.0,2.0,,,2.43,,0
