BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
1774.0,53.0,0.58,,2.0,45,3080.0,110.0,1.0,2.0,,1774.0,1.25,,0
5698.0,71.0,2.68,1.0,6.5,48,2124.0,91.33,1.0,3.0,,2401.0,3.44,1611.0,0
21250.0,85.75,4.25,,3.0,18,5000.0,100.0,1.0,5.0,,21250.0,3.0,,0
55700.0,93.0,3.28,,2.0,80,17000.0,105.0,1.0,5.0,,55700.0,1.25,,0
15000.0,100.0,2.0,2.0,4.8,13,7500.0,100.0,1.0,2.0,,,,,0
752.0,28.0,0.17,,1.0,11,4413.0,101.25,2.0,1.0,,752.0,0.6,,0
1952.0,36.0,1.01,,2.0,24,1925.0,100.0,1.0,2.0,,1368.0,0.9,,0
4396.0,64.53,1.83,,4.8,58,2406.0,87.5,1.0,3.0,,4396.0,2.43,,0
8034.0,78.0,0.99,,2.0,42,8086.0,78.42,1.0,1.0,,,1.25,8034.0,0
2600.0,65.0,1.04,,2.0,11,2500.0,100.0,2.0,2.0,,2600.0,1.25,,0
1871.0,36.0,0.75,,2.0,26,2500.0,100.0,1.0,2.0,,1280.0,0.9,,0
3814.0,56.0,1.53,,4.8,28,2500.0,100.0,1.0,3.0,,3814.0,3.44,,0
1360.0,30.0,0.54,,2.0,31,2500.0,100.0,2.0,2.0,,1360.0,1.25,,0
1800.0,45.0,0.46,,4.0,85,3899.0,159.36,3.0,1.0,,900.0,4.0,,0
2650.0,50.0,1.34,,2.0,5,1975.0,100.0,1.0,3.0,,2650.0,1.25,,0
1846.0,59.0,1.03,,4.8,34,1800.0,89.67,1.0,2.0,,1846.0,2.43,,0
2325.0,38.5,1.16,,2.0,153,2000.0,100.0,1.0,3.0,,2325.0,1.25,,0
67700.0,88.0,3.38,,4.8,75,20057.0,100.0,1.0,5.0,,67700.0,2.43,,0
3078.0,57.0,1.71,,2.0,34,1800.0,100.0,1.0,3.0,,3078.0,1.25,,0
2015.0,40.0,0.39,,2.0,60,5150.0,103.0,2.0,2.5,,2015.0,1.25,,0
3000.0,50.0,1.05,,2.0,67,2867.0,100.0,1.0,3.0,,3000.0,1.25,,0
1980.0,38.0,0.78,,1.0,32,2525.0,101.0,1.0,2.0,,1440.0,0.6,,0
9335.0,75.0,3.53,,4.8,21,2642.0,100.0,1.0,5.0,,9335.0,2.43,,0
10484.0,60.0,0.97,,4.8,10,10757.0,98.33,1.0,2.0,,4842.0,2.43,5642.0,0
1584.0,32.0,0.88,,2.0,119,1800.0,100.0,1.0,2.0,,1152.0,0.9,,0
1720.0,43.0,0.72,,2.0,40,2375.0,95.0,2.0,1.0,,860.0,0.9,,0
1296.0,36.0,0.56,,1.0,38,2300.0,100.0,1.0,2.0,,1296.0,0.6,,0
2434.0,42.0,1.05,,1.0,4,2314.0,89.0,1.0,2.0,,2184.0,0.6,,0
1760.0,44.08,0.93,,2.0,23,1900.0,95.0,1.0,2.0,,1760.0,1.25,,0
1680.0,40.0,0.8,,4.8,109,2100.0,100.0,1.0,2.0,,1680.0,3.44,,0
1468.0,38.0,1.1,,3.0,64,1329.0,53.17,1.0,2.0,,1468.0,3.0,,0
,,,,2.0,1,2275.0,90.08,,,,,1.25,,0
3000.0,50.0,1.37,,2.0,73,2182.0,102.3,1.0,3.0,,3000.0,1.25,,0
3592.0,36.0,0.22,,1.0,220,16560.0,120.0,1.0,2.0,,3592.0,0.5,,0
2223.0,37.5,1.18,,2.0,159,1876.0,95.0,1.0,2.0,,1406.0,1.25,,0
2203.0,38.0,0.85,,2.0,5,2580.0,83.58,1.0,2.75,,2203.0,1.25,,0
2192.0,30.0,0.81,,2.0,8,2692.0,70.17,1.0,2.0,,1728.0,0.9,,0
1260.0,35.0,0.7,,2.0,8,1800.0,100.0,1.0,2.0,,1260.0,0.9,,0
,,,,,1,7220.0,190.42,,,,,,,0
2340.0,40.83,0.79,,4.8,122,2950.0,51.67,2.0,2.5,,2340.0,2.43,,0
10761.0,84.0,1.88,,2.0,74,5713.0,114.25,1.0,4.0,,10761.0,1.25,,0
